Real,ADJ,CMC,CPL,VERB
1,0.96581,0.80434,0.047669,0.80232
0,0.018318,0.029429,0.51646,0.038823
0,0.024502,0.007952,0.062606,0.019661
0,0.070154,0.012616,0.05809,0.034525
1,0.040537,0.33674,0.37371,0.38369
0,0.0606,0.037674,0.050509,0.089768
0,0.039685,0.018795,0.037803,0.14629
0,0.038753,0.043277,0.045022,0.018875
0,0.05797,0.16811,0.041548,0.053319
0,0.060747,0.0080058,0.053397,0.072385
0,0.046324,0.022497,0.074013,0.058826
0,0.018282,0.0041958,0.058453,0.0061697
0,0.046744,0.12642,0.052379,0.028652
1,0.3467,0.36078,0.24818,1
0,0.069328,0.0072927,0.044191,0.045148
0,0.20449,0.027752,0.037316,0.047156
0,0.0093988,0.033472,0.044031,0.078225
0,0.056488,0.0038568,0.05051,0.059588
0,0.0010018,0.57582,0.044508,0.047428
0,0.041698,0.018908,0.059094,0.071968
0,0.023443,0.045976,0.14219,0.017263
0,0.016896,0.0037384,0.053838,0.045585
0,0.0010891,0.061276,0.016252,0.094702
0,0.022984,0.23925,0.054646,0.03046
1,0.077811,0.95982,0.36281,0.073063
0,0.0074232,0.022855,0.054825,0.043616
0,0.02569,0.0053558,0.08608,0.070359
0,0.03286,0.0050128,0.008778,0.055499
0,0.047274,0.0086847,0.050528,0.029977
0,0.029434,0.046649,0.059616,0.067727
0,0.036372,0.048579,0.068993,0.076934
1,0.82416,0.93555,0.10198,0.56208
0,0.034815,0.013186,0.044468,0.074908
0,0.062378,0.039442,0.062002,0.040605
0,0.02094,0.2394,0.052221,0.036183
0,0.34767,0.088984,0.22652,0.022026
0,0.03097,0.015913,0.075154,0.020188
0,0.012551,0.0091597,0.068042,0.047213
0,0.93139,0.0033477,0.057206,0.024038
0,0.68614,0.085728,0.054565,0.044581
0,0.043243,0.0048278,0.027317,0.043864
0,0.17169,0.0069393,0.060162,0.063228
0,0.018655,0.043667,0.060077,0.053874
0,0.025085,0.17108,0.056986,0.043682
0,0.050095,0.0079054,0.079861,0.021844
0,0.040027,0.015906,0.022114,0.127
0,0.018724,0.026351,0.042651,0.026575
0,0.032208,0.019025,0.05131,0.025335
1,0.55069,0.63532,0.10462,0.073216
