Real,ADJ,CMC,CPL,VERB
0,0.0012636,0.0056761,0.017557,0.01323
0,0.025983,0.080948,0.022816,0.018204
0,0.025617,0.0063726,0.021984,0.01502
0,0.044328,0.0077724,0.015976,0.0097975
0,0.034027,0.12682,0.055957,0.0069471
0,0.029012,0.093695,0.02292,0.013299
0,0.0088164,0.0078012,0.031183,0.010115
0,0.01927,0.0045794,0.016284,0.0046625
0,0.013316,0.058044,0.021157,0.021958
0,0.0078325,0.0057081,0.017463,0.0097555
0,0.014448,0.024233,0.017752,0.012448
0,0.013712,0.041764,0.017776,0.039612
0,0.016808,0.003499,0.019072,0.0047616
0,0.012294,0.052237,0.013669,0.0029062
0,0.01655,0.019888,0.021673,0.11408
0,0.0089921,0.029588,0.014536,0.0083784
0,0.019741,0.0031399,0.019941,0.041403
0,0.017764,0.004106,0.025032,0.020381
0,0.01545,0.11272,0.016496,0.0078639
0,0.0079221,0.03703,0.021374,0.011745
0,0.018243,0.1137,0.021858,0.020871
0,0.00048468,0.092392,0.018615,0.0085816
0,0.012126,0.055804,0.019769,0.01472
0,0.029012,0.010577,0.021524,0.016577
0,0.011328,0.032608,0.019524,0.026882
0,0.0096014,0.014986,0.022299,0.011319
0,0.0070383,0.023119,0.018867,0.013723
0,0.0093095,0.065635,0.0076565,0.02291
0,0.020598,0.0067187,0.049451,0.0077242
0,0.0067064,0.22432,0.016494,0.014861
0,0.020008,0.075167,0.019935,0.0018166
0,0.013732,0.016778,0.022657,0.012569
0,0.011816,0.10882,0.021899,0.021649
0,0.014759,0.02339,0.024029,0.0089598
0,0.014726,0.20297,0.039339,0.016687
0,0.016099,0.0092717,0.017621,0.016805
0,0.015021,0.056202,0.021339,0.014528
0,0.035107,0.0081855,0.024961,0.015894
0,0.018033,0.033256,0.018076,0.0059769
0,0.0064214,0.072485,0.017619,1.9908e-05
0,0.010278,0.012355,0.067035,0.010525
0,0.036293,0.051701,0.020589,0.0097073
0,0.011428,0.0093307,0.023426,0.012762
0,0.010252,0.023421,0.029101,0.031099
0,0.013211,0.037142,0.02023,0.0056867
0,0.009125,0.014151,0.020595,0.016021
0,0.018182,0.013986,0.025135,0.009327
0,0.041995,0.37602,0.022059,0.0059832
0,0.0095894,0.0046676,0.016246,0.017957
0,0.013232,0.034357,0.016299,0.0078066
0,0.02582,0.0049285,0.02083,0.017751
0,0.014473,0.028272,0.024062,0.0022899
0,0.018185,0.16046,0.02108,0.024265
0,0.030346,0.10016,0.043237,0.0089753
0,0.062049,0.0066545,0.016592,0.040748
0,0.022736,0.065207,0.021119,0.014256
0,0.015274,0.010641,0.02074,0.030637
0,0.038763,0.045272,0.020757,0.0308
0,0.0034819,0.041047,0.014802,0.014594
0,0.020468,0.071484,0.018443,0.0056975
0,0.032492,0.02081,0.019856,0.01258
0,0.0036723,0.051871,0.011126,0.023804
0,0.031443,0.014898,0.020943,0.014186
0,0.014088,0.0084967,0.020171,0.015464
0,0.015089,0.067703,0.0094134,0.015166
0,0.020826,0.014592,0.032241,0.027975
0,0.01288,0.016946,0.016496,0.021033
0,0.025604,0.10362,0.020727,0.033626
0,0.012811,0.0063169,0.02051,0.009363
0,0.024498,0.055888,0.017112,0.023887
0,0.019906,0.010368,0.012474,0.0033506
0,0.024504,0.097713,0.020738,0.027593
0,0.0035989,0.015884,0.022457,0.019753
0,0.0088359,0.0094874,0.01906,0.027484
0,0.021877,0.015756,0.023285,0.013445
1,0.023892,0.80057,0.055474,0.10441
0,0.011555,0.0060594,0.0192,0.021224
0,0.018994,0.18435,0.016223,0.057925
0,0.0029545,0.050089,0.020042,0.01801
0,0.029012,0.029906,0.018554,0.002237
0,0.017628,0.041014,0.022472,0.0045107
