Real,ADJ,CMC,CPL,VERB
0,0.010642,0.052985,0.041274,0.016885
0,0.015333,0.027099,0.027355,0.028335
0,0.012587,0.044005,0.08369,0.033715
0,0.021607,0.0052302,0.039712,0.014982
0,0.026867,0.046658,0.037778,0.040543
0,0.019715,0.011683,0.038786,0.027423
1,0.84064,0.9905,0.23363,0.34151
0,0.0099038,0.018439,0.022025,0.020573
0,0.013874,0.12482,0.065618,0.021687
0,0.019957,0.05832,0.02805,0.0339
1,0.99605,0.098003,0.055509,0.034994
0,0.0095662,0.010889,0.033772,0.046914
0,0.02482,0.054712,0.027419,0.013419
0,0.027967,0.061195,0.040432,0.027696
0,0.017145,0.010224,0.043152,0.019917
0,0.021067,0.031372,0.030376,0.13259
0,0.0072983,0.0077003,0.030233,0.022179
0,0.013949,0.041516,0.042657,0.0095513
1,0.78422,0.15978,0.044196,0.40177
0,0.01031,0.019596,0.03748,0.014202
0,0.011065,0.014804,0.010541,0.034698
0,0.021609,0.020537,0.0427,0.0036655
0,0.011816,0.009829,0.05197,0.027291
0,0.00563,0.024579,0.036213,0.036143
0,0.040398,0.052667,0.042121,0.0093103
0,0.022509,0.0195,0.035211,0.04733
0,0.02465,0.012038,0.024954,0.019155
1,0.22027,0.3032,0.48527,0.9524
1,0.17061,0.17569,0.17703,0.43395
0,0.027967,0.011941,0.046231,0.027279
0,0.027967,0.013826,0.054071,0.018636
0,0.016061,0.19042,0.041679,0.019186
0,0.018079,0.11433,0.038027,0.024528
0,0.019014,0.021744,0.010382,0.02997
0,0.025242,0.033131,0.037777,0.059381
0,0.01427,0.054468,0.025769,0.01904
0,0.024471,0.076703,0.060231,0.26894
0,0.0033302,0.0066773,0.047369,0.041453
0,0.027375,0.12387,0.039732,0.024927
0,0.013426,0.021611,0.038172,0.050546
0,0.020748,0.01021,0.034688,0.02196
0,0.062266,0.07414,0.039627,0.017057
0,0.027967,0.010049,0.032684,0.7107
0,0.056383,0.033345,0.045207,0.031493
0,0.0096407,0.0096827,0.044343,0.049467
0,0.026197,0.19036,0.023553,0.12899
0,0.0076507,0.01522,0.041662,0.07012
0,0.0085798,0.022791,0.029778,0.0092595
0,0.021858,0.017379,0.078125,0.019104
0,0.011845,0.092542,0.031396,0.026715
0,0.0092241,0.017064,0.035713,0.022283
0,0.062343,0.058831,0.042409,0.017977
0,0.010362,0.044074,0.031619,0.016854
1,0.8711,0.85466,0.078345,0.99622
1,0.94966,0.88651,0.16251,0.77722
0,0.012806,0.086228,0.029243,0.017194
0,0.027967,0.013133,0.041222,0.032533
0,0.010105,0.0088738,0.031008,0.071769
0,0.011507,0.01132,0.041141,0.04507
0,0.017483,0.072669,0.04079,0.025315
0,0.0083038,0.012034,0.070291,0.023799
1,0.78878,0.99755,0.24617,0.1013
0,0.021813,0.12738,0.08037,0.0164
0,0.0074572,0.013373,0.16852,0.03458
0,0.053039,0.014648,0.032964,0.027366
0,0.029018,0.0035485,0.039973,0.027306
0,0.021995,0.015494,0.01598,0.013386
0,0.011467,0.022735,0.027743,0.026743
0,0.02324,0.096531,0.03978,0.02866
