Real,ADJ,CMC,CPL,VERB
0,0.0046424,0.01051,0.0061738,0.0057413
0,0.0050465,0.027173,0.0064536,0.0051993
0,0.0061131,0.023439,0.0063656,0.0042941
0,0.0035846,0.022148,0.0064556,0.0028419
0,0.0040688,0.014893,0.0064101,0.005664
0,0.0040539,0.092853,0.0062866,0.0061709
0,0.0038219,0.0068209,0.0064582,0.0061148
0,0.0017932,0.024291,0.005705,0.0048443
0,0.002442,0.016736,0.0066528,0.0050675
0,0.0037426,0.0077997,0.0064972,0.0088324
0,0.0020097,0.007941,0.0063889,0.0068697
0,0.0045841,0.016796,0.006483,0.0086406
0,0.0037996,0.021616,0.0062355,0.0047669
0,0.0034703,0.024974,0.0067555,0.00582
0,0.0042936,0.025495,0.0068254,0.0052191
0,0.0047487,0.023259,0.0062339,0.0062912
0,0.0039392,0.0085411,0.0064104,0.0054063
0,0.0047015,0.018898,0.0064172,0.00657
0,0.004744,0.035168,0.0067526,0.0057914
0,0.0026279,0.012722,0.0064467,0.0042817
0,0.0040348,0.013592,0.0061683,0.005063
0,0.003713,0.052885,0.0064282,0.006635
0,0.0036783,0.018356,0.0057566,0.0066017
0,0.0051293,0.0077524,0.0057475,0.0056436
0,0.0039263,0.010584,0.0060827,0.0034669
0,0.0051808,0.034717,0.0063254,0.0056827
0,0.012949,0.023665,0.0082659,0.0022581
0,0.0052072,0.034218,0.0055134,0.0048656
0,0.0045461,0.019372,0.0062049,0.0017926
0,0.0051808,0.0079919,0.0057725,0.0085636
0,0.0046445,0.018165,0.0064022,0.010119
0,0.0028844,0.023271,0.0069884,0.0046654
0,0.0016255,0.019179,0.0063959,0.0040396
0,0.0056842,0.018675,0.006141,0.0070003
0,0.0047737,0.025448,0.0055001,0.011344
0,0.0044349,0.030367,0.0064056,0.0038118
0,0.00437,0.021137,0.0054906,0.0042645
0,0.0027616,0.016189,0.0043648,0.0049706
0,0.0036576,0.011883,0.0061744,0.0055156
0,0.0072047,0.040906,0.0060242,0.0059198
0,0.0051808,0.017568,0.0063363,0.0057772
0,0.0070193,0.058198,0.0063079,0.0050933
0,0.0038321,0.023709,0.0082495,0.005894
0,0.0043545,0.010544,0.0062344,0.0040232
0,0.0029757,0.0057532,0.0060807,0.0042479
0,0.009738,0.021879,0.0066476,0.0048243
