Real,ADJ,CMC,CPL,VERB
0,0.0018299,0.0049639,0.0029369,0.0027641
0,0.001758,0.025513,0.0027773,0.0044225
0,0.001873,0.00048687,0.0029476,0.0035766
0,0.0052815,0.00043126,0.002891,0.0034103
0,0.0016533,0.0017776,0.0030202,0.0024471
0,0.00088544,0.00048792,0.0028754,0.000688
0,0.0017455,0.00048953,0.0030509,0.002108
0,0.00085002,0.0003126,0.0028807,0.0028008
0,0.0020489,0.00010503,0.0028605,0.0014261
0,0.002214,0.00063907,0.0029828,0.0032816
0,0.0017711,0.0010728,0.0028066,0.001104
0,0.0014317,0.000263,0.0026566,0.0043969
0,0.00099285,0.00015894,0.0030005,0.0038574
0,0.0019749,0.0026289,0.0028497,0.0029393
0,0.0017833,0.00016671,0.0023686,0.0027856
0,0.0018565,0.0026844,0.002724,0.001695
0,0.0028882,0.0049568,0.0028824,0.0039965
0,0.0027241,0.00012246,0.0027664,0.00069977
0,0.001989,0.00022894,0.0027985,0.0015816
0,0.0019983,9.1916e-05,0.0028415,0.0032402
0,0.0015554,0.0031252,0.0028382,0.0029599
0,0.00086706,0.00079545,0.002973,0.0027145
0,0.0018135,0.0032952,0.0027812,0.0016543
0,0.0019983,0.0097215,0.0026655,0.0039292
0,0.0016043,0.010403,0.0027819,0.0021917
0,0.0018544,0.0001681,0.0026819,0.0022466
0,0.001282,0.00043042,0.0029654,0.0033786
0,0.0017986,0.0010251,0.0027801,0.0014336
0,0.0015166,0.0011229,0.002649,0.001755
0,0.0020265,0.00054944,0.0027977,0.0029636
0,0.0021002,0.05005,0.0027056,0.0027824
0,0.0050994,0.00053658,0.0026627,0.0026956
0,0.00054911,0.00016855,0.0026826,0.0037737
0,0.0014726,0.00024359,0.0029517,0.0028554
0,0.0012785,0.011649,0.0028868,0.00090779
0,0.0014024,0.0015655,0.0029295,0.0029548
0,0.0016285,0.0039932,0.0031401,0.0026347
0,0.00115,0.0025939,0.0027213,0.0022508
0,0.0019062,0.0018835,0.0029513,0.0028932
0,0.0015913,0.0053162,0.0029487,0.0029525
0,0.0019983,0.0017926,0.0028369,0.0021282
0,0.0013682,0.00021877,0.0029173,0.0034993
0,0.0031003,0.0077491,0.0027423,0.0016244
0,0.0018566,0.0025938,0.002758,0.0019458
0,0.0016705,0.00019248,0.0029563,0.0024307
0,0.0018187,0.0019807,0.002963,0.0029418
0,0.0013669,0.0027744,0.0028531,0.0016252
0,0.0010131,0.0015109,0.0027824,0.0007439
0,0.0016334,0.0014311,0.0026836,0.0021249
0,0.00059918,0.00013237,0.0029593,0.0017241
0,0.0048407,0.0019111,0.0028845,0.001146
0,0.0019301,0.016944,0.0027934,0.004045
0,0.0017834,0.001107,0.002679,0.0034044
0,0.002268,0.0011632,0.0028936,0.0037651
0,0.001734,0.00533,0.0028369,0.0021105
0,0.0016872,0.0013615,0.0026845,0.0040068
0,0.0022941,0.0003388,0.002893,0.0028801
0,0.001834,0.00076881,0.0030022,0.0034507
0,0.0032489,0.0087202,0.0029563,0.0024517
0,0.0021165,0.0012753,0.0028081,0.0036641
0,0.0020102,0.0017714,0.0029757,0.0037737
0,0.0012596,0.00059365,0.0033141,0.0044039
0,0.0018528,0.0068115,0.0027797,0.0039127
0,0.00089269,0.0012829,0.0028001,0.0029044
0,0.0018931,0.0020755,0.0029456,0.0026906
0,0.0017226,0.00013537,0.0028907,0.0030844
0,0.0017901,0.0035467,0.0028869,0.0020493
0,0.0017054,0.0013826,0.0028654,0.0019469
0,0.0017234,0.0035012,0.0030116,0.0019314
0,0.0025817,0.0013269,0.0029471,0.0087884
0,0.0016219,0.0025374,0.0027871,0.0044747
0,0.00077077,0.0012054,0.0029162,0.0015871
0,0.0019983,0.00012153,0.0021656,0.0028496
0,0.0021837,0.00066401,0.0027172,0.0032983
0,0.0021181,0.0018913,0.0029476,0.0012526
0,0.0026837,0.0041733,0.002679,0.0018705
0,0.0013632,5.2779e-05,0.0029392,0.0030529
0,0.0016418,0.00031009,0.0029177,0.00068534
0,0.0013058,0.0034942,0.0028176,0.0017241
0,0.0019352,0.0010065,0.0025784,0.0019292
0,0.0014541,0.0043208,0.0028466,0.0034212
0,0.0016732,0.0012519,0.0029438,0.0014973
0,0.0036823,0.00018278,0.0028662,0.0028054
0,0.0017046,0.0017435,0.0028966,0.0023843
0,0.0015462,0.0036122,0.0029402,0.0037222
0,0.00061403,0.00015942,0.0029297,0.0020311
0,0.0019983,0.00012714,0.0029062,0.0036564
0,0.001718,0.00035656,0.0025058,0.0021312
0,0.0018858,0.0031097,0.0027835,0.003196
0,0.0021005,0.0088299,0.0028648,0.0025113
0,0.00069795,0.00013672,0.002668,0.002257
0,0.0023551,0.00011423,0.0028109,0.002066
0,0.0013259,0.0003414,0.0028664,0.0039398
0,0.00093955,9.1751e-05,0.0030587,0.0028925
0,0.0019152,0.00060763,0.0020222,0.0028873
0,0.0010796,0.00060575,0.0028901,0.0029393
0,0.0026269,0.012182,0.0029229,0.002631
0,0.0012056,0.00079218,0.0029098,0.0033977
0,0.0019983,0.0022796,0.0028091,0.0035827
0,0.00045978,0.00037277,0.002913,0.00096733
0,0.0011722,0.0012768,0.0028764,0.002894
0,0.0013651,0.00050433,0.0027909,0.0028505
0,0.0025588,0.0013274,0.0029398,0.0023255
0,0.0049417,0.00066668,0.0028671,0.0033109
0,0.001688,0.020844,0.002285,0.0021445
0,0.0019931,0.0006623,0.0028792,0.001268
0,0.0015673,0.00079996,0.0032307,0.0024697
0,0.001817,0.0035283,0.0025606,0.0032097
0,0.0014647,0.0002786,0.0030112,0.0025067
0,0.0026265,0.0023411,0.0028211,0.002036
0,0.001905,0.010966,0.002894,0.0034954
0,0.0018491,0.00048946,0.0030888,0.0011321
0,0.00085101,0.00019067,0.0029111,0.0023695
0,0.0014773,0.0007107,0.0029739,0.0030763
0,0.0019983,0.00010718,0.0027895,0.0016821
0,0.0028386,0.041775,0.0029685,0.0032087
0,0.0014353,0.0022306,0.0023184,0.003081
0,0.00090521,0.000255,0.0027897,0.0026121
0,0.0019261,0.015684,0.0029112,0.005905
0,0.0018059,0.0025618,0.0028844,0.0021819
0,0.0021391,0.0020307,0.0028152,0.0026078
0,0.0029033,0.00072726,0.0033574,0.0024691
0,0.00097962,0.0049568,0.0045324,0.0018124
0,0.0019017,0.00069733,0.0029808,0.0021588
0,0.001301,0.00022005,0.0028499,0.0041875
0,0.0019053,0.00035702,0.0028274,0.0045139
0,0.0013334,0.00087189,0.0025727,0.0015873
0,0.0017985,0.0026283,0.0029133,0.0028881
0,0.0015846,0.014785,0.0028318,0.0035817
0,0.00093517,6.8212e-05,0.0029359,0.0082779
0,0.0021876,0.006421,0.0028737,0.0022184
0,0.0017052,0.0034878,0.0027752,0.0013907
0,0.0017834,0.00030627,0.0028793,0.0025865
0,0.0019355,0.00050794,0.0028915,0.00059992
