Real,ADJ,CMC,CPL,VERB
0,0.057948,0.013061,0.015913,0.0099311
0,0.010378,0.0037627,0.016082,0.0070496
0,0.0037043,0.015292,0.015944,0.02916
0,0.0044644,0.022434,0.01478,0.014111
0,0.0056552,0.03208,0.017145,0.010732
1,0.1331,0.047634,0.11875,0.40181
0,0.0012544,0.0055347,0.045285,0.015813
0,0.0048769,0.009283,0.013717,0.0090464
0,0.003261,0.0098149,0.014241,0.0075961
0,0.0058121,0.0073601,0.017566,0.013133
0,0.015805,0.053286,0.017557,0.013468
0,0.006519,0.0044377,0.016962,0.018736
0,0.007643,0.0041705,0.014089,0.0077269
0,0.0015339,0.016125,0.018366,0.011265
0,0.010224,0.018069,0.0029636,0.016729
1,0.019765,0.0015863,0.038762,0.052642
0,0.0097705,0.0039604,0.014551,0.010242
0,0.0079445,0.024866,0.017079,0.0032909
0,0.0085488,0.013027,0.017294,0.017759
0,0.010378,0.011907,0.016103,0.007661
0,0.0080307,0.010318,0.014793,0.012107
0,0.0074717,0.012016,0.019015,0.010574
0,0.0047767,0.004093,0.074883,0.0097727
0,0.0015803,0.030319,0.014718,0.0081351
0,0.0084835,0.015013,0.013853,0.0092574
0,0.010507,0.03815,0.015032,0.011505
0,0.0096704,0.0097833,0.016994,0.0093787
0,0.0069532,0.020288,0.015481,0.01819
0,0.0062814,0.01775,0.022618,0.0064723
0,0.023523,0.015297,0.016769,0.0044154
0,0.0021721,0.0044695,0.016165,0.0071632
0,0.010764,0.039078,0.015868,0.030088
0,0.0045392,0.0083672,0.015176,0.011709
0,0.005477,0.010658,0.015763,0.0073323
0,0.0064943,0.0035936,0.015421,0.0098968
0,0.002834,0.014691,0.016128,0.011028
0,0.0033935,0.022027,0.013525,0.011247
0,0.010509,0.0066063,0.015012,0.019226
0,0.0084576,0.022322,0.015842,0.0061864
0,0.0091408,0.0087595,0.016975,0.0093751
1,0.268,0.54892,0.032305,0.56558
0,0.011439,0.064397,0.016622,0.010281
0,0.0083055,0.016995,0.016345,0.015381
0,0.0065524,0.097515,0.015819,0.033603
0,0.0089173,0.0030078,0.014362,0.0098464
0,0.0068169,0.01257,0.015604,0.015308
0,0.010378,0.01029,0.014957,0.0088211
0,0.0050124,0.012616,0.015549,0.0072814
0,0.017147,0.032822,0.015381,0.012301
0,0.00063896,0.001954,0.016285,0.0064053
0,0.013869,0.018246,0.016489,0.0057365
0,0.0047739,0.011577,0.016361,0.0074493
0,0.0070107,0.015809,0.0134,0.0077604
0,0.0085194,0.0091183,0.017089,0.0099054
0,0.002354,0.12524,0.016849,0.008428
0,0.0012253,0.012891,0.010154,0.012281
0,0.0012163,0.011137,0.016953,0.0075426
0,0.0011231,0.02604,0.012915,0.003373
0,0.0076506,0.0075241,0.0088898,0.01018
0,0.0045103,0.043017,0.01683,0.012349
0,0.0037669,0.0029544,0.028129,0.006788
0,0.027257,0.016627,0.091617,0.016851
0,0.0068323,0.014877,0.016091,0.0092606
0,0.024899,0.0065493,0.015626,0.0084045
0,0.0012112,0.0076279,0.021687,0.0075556
0,0.0068833,0.012665,0.016419,0.0023297
0,0.0093928,0.02775,0.015849,0.011055
0,0.010378,0.0046103,0.015003,0.0080305
0,0.010275,0.0060036,0.016281,0.0095163
1,0.96075,0.12636,0.46977,0.18776
0,0.007501,0.011165,0.015623,0.0074545
0,0.0078368,0.011172,0.015789,0.010056
0,0.0084368,0.0043875,0.016473,0.0074757
0,0.010378,0.012214,0.015835,0.011176
0,0.0099441,0.0039493,0.016086,0.0091474
0,0.0045435,0.01956,0.009437,0.010408
0,0.012534,0.014615,0.016866,0.0051847
0,0.0076185,0.0076432,0.015718,0.010193
0,0.0093187,0.014008,0.01706,0.0094832
