Real,ADJ,CMC,CPL,VERB
0,0.0048512,0.003351,0.0070173,0.005992
0,0.021733,0.0023972,0.0060167,0.0061474
0,0.0066965,0.17162,0.0062808,0.0059646
0,0.0027155,0.0020504,0.0064212,0.0068593
0,0.001019,0.0018703,0.0048011,0.0050241
0,0.0031994,0.038161,0.0063491,0.0053363
0,0.003581,0.0058485,0.0057087,0.0054135
0,0.0046802,0.043258,0.0064715,0.0054927
0,0.0043718,0.013748,0.0064971,0.0065414
0,0.0043992,0.11047,0.0063317,0.005725
0,0.0038128,0.053596,0.0062885,0.0058102
0,0.025124,0.0053847,0.0063004,0.007212
0,0.0048512,0.017736,0.0062297,0.0037045
0,0.0042632,0.0034441,0.0083171,0.0048393
0,0.0037152,0.014534,0.0071373,0.0075231
0,0.0035739,0.0017109,0.0064373,0.006048
0,0.0048512,0.01142,0.006232,0.0065597
0,0.0048185,0.089192,0.0060311,0.0065029
0,0.002884,0.0076559,0.0056543,0.0041021
0,0.0044516,0.0092664,0.006297,0.0061099
0,0.0010943,0.0069613,0.0063103,0.0068731
0,0.0032043,0.0031071,0.006602,0.0048948
0,0.017455,0.0026907,0.0056068,0.004561
0,0.005347,0.055572,0.0062785,0.007808
0,0.0038558,0.0058006,0.0062715,0.0034711
0,0.006247,0.017382,0.0060026,0.0060292
0,0.0044076,0.0089612,0.0055786,0.014001
0,0.003073,0.017948,0.0063968,0.0050413
0,0.0046536,0.026893,0.0062664,0.0053973
0,0.0041135,0.14933,0.0065581,0.0057969
0,0.0048512,0.0063418,0.0086722,0.0097795
0,0.0043161,0.0037486,0.0062253,0.0051637
0,0.0075113,0.0013051,0.0058219,0.0025042
0,0.0066058,0.0043571,0.0066076,0.0037099
0,0.0037463,0.082155,0.0069063,0.0060895
0,0.0050755,0.0055183,0.0059121,0.0051557
0,0.0033818,0.0069226,0.0063377,0.0049057
0,0.0029636,0.0012868,0.0061112,0.0057039
0,0.0035312,0.0050018,0.0058267,0.0053736
0,0.0036566,0.00669,0.0038764,0.0045005
0,0.004851,0.0070088,0.0064312,0.0075927
0,0.0033685,0.0042111,0.0062619,0.0069385
0,0.005916,0.0020754,0.0061933,0.0056535
0,0.0064321,0.005825,0.0060761,0.0062112
0,0.0033951,0.0040694,0.0064665,0.0054118
0,0.0038914,0.0064982,0.0062044,0.0042461
0,0.0020566,0.0061198,0.006567,0.0047892
0,0.01261,0.015579,0.0062019,0.0061454
0,0.0042798,0.072424,0.0063541,0.0053619
0,0.0058906,0.41328,0.014381,0.0074183
0,0.088508,0.043043,0.006646,0.005921
0,0.0030163,0.051329,0.0071543,0.0056188
0,0.0027728,0.033125,0.0066329,0.0091658
0,0.0027841,0.0030862,0.0055269,0.016636
0,0.0047744,0.027518,0.006052,0.0053092
0,0.0036845,0.033313,0.0064574,0.0065487
0,0.0048512,0.026741,0.0062981,0.0071558
0,0.0040814,0.041077,0.0063275,0.007302
0,0.0026169,0.00084019,0.0061532,0.0154
1,0.0098102,0.97025,0.012229,0.063257
0,0.0098804,0.0066149,0.0062646,0.0099759
0,0.003597,0.0050491,0.0065891,0.011591
0,0.0048512,0.011934,0.005002,0.0055852
0,0.0067868,0.0087212,0.0064919,0.00556
0,0.0047272,0.013005,0.0036875,0.0066677
0,0.0048512,0.0052828,0.0055259,0.0027896
