Real,ADJ,CMC,CPL,VERB
0,0.010419,0.24608,0.019274,0.024807
0,0.0083779,0.00052787,0.024233,0.013641
0,0.026238,0.011793,0.027362,0.013624
0,0.00062716,0.0066706,0.023433,0.11976
0,0.013765,0.48157,0.027953,0.010591
0,0.015142,0.014905,0.0242,0.034922
0,0.017998,0.00083953,0.021835,0.014573
0,0.019464,0.00051468,0.0040872,0.020511
0,0.0069384,0.0067753,0.01968,0.022294
0,0.016943,0.00145,0.019094,0.15409
0,0.015842,0.015515,0.02198,0.0014818
0,0.020301,0.20602,0.019866,0.043104
0,0.010564,0.53683,0.11483,0.083981
0,0.026671,0.0028489,0.022121,0.040338
0,0.019455,0.012262,0.022667,0.019727
0,0.18864,0.14045,0.01523,0.0123
0,0.068748,0.017115,0.025741,0.016331
0,0.0058288,0.011101,0.027421,0.022262
0,0.070661,0.51706,0.021722,0.055999
0,0.028513,0.016048,0.024502,0.025991
0,0.028012,0.034369,0.028816,0.012639
0,0.017541,0.098764,0.0044803,0.051343
0,0.030481,0.078115,0.022231,0.017244
0,0.15019,0.0062201,0.022221,0.0044618
0,0.0097746,0.0018176,0.0097075,0.0083576
0,0.025501,0.024453,0.021125,0.016085
0,0.022858,0.069319,0.025297,0.0024539
0,0.017171,0.00054245,0.029077,0.0050291
0,0.0088673,0.0056595,0.0048945,0.0084823
0,0.0031404,0.0015795,0.022959,0.005811
0,0.013895,0.24864,0.022545,0.0094407
0,0.053118,0.00086227,0.017537,0.0040594
0,0.027645,0.0029411,0.021234,0.021437
0,0.0093869,0.011379,0.025842,0.022766
0,0.015529,0.0020635,0.0024693,0.031208
0,0.024456,0.00020812,0.022752,0.016007
0,0.018829,0.58359,0.027754,0.031059
0,0.036033,0.00097483,0.024806,0.0060051
0,0.016684,0.0020975,0.02615,0.012764
0,0.097923,0.0047481,0.021555,0.0072394
0,0.062058,0.0011749,0.017873,0.00062368
0,0.0061462,0.011244,0.024066,0.034733
0,0.019842,0.076707,0.030599,0.020405
0,0.004191,0.006576,0.048017,0.026047
1,0.19011,0.39886,0.11155,0.078392
0,0.015742,0.15147,0.021156,0.005628
0,0.014187,0.1034,0.033554,0.00069725
1,0.02215,0.12192,0.075777,0.16269
0,0.021931,0.001298,0.014013,0.0088931
0,0.028781,0.0038423,0.027833,0.0056394
0,0.0032862,0.0013199,0.025109,0.0060966
0,0.015182,0.076592,0.019849,0.025982
0,0.013054,0.0061576,0.027057,0.028952
0,0.020609,0.016009,0.015599,0.098578
0,0.0016045,0.016767,0.027162,0.034907
0,0.021193,0.0031694,0.021802,0.010109
0,0.0093788,0.00067032,0.024974,0.0091163
0,0.025321,0.00020091,0.02797,0.039325
0,0.02634,0.0018276,0.02493,0.008295
0,0.0085245,0.22227,0.020584,0.013574
0,0.01186,0.0014658,0.023031,0.012064
0,0.072138,0.090125,0.022032,0.01403
0,0.0039727,0.11838,0.019547,0.00049949
0,0.072744,0.071163,0.019209,0.031087
0,0.029611,0.0071278,0.018225,0.028856
0,0.027085,0.060289,0.017482,0.020454
0,0.017129,0.059916,0.022299,0.0013417
0,0.036663,0.0014198,0.027261,0.017656
0,0.034271,0.029343,0.025186,0.0085419
0,0.026287,0.026569,0.023092,0.012564
0,0.010661,0.022103,0.017484,0.013378
0,0.014627,0.075067,0.016609,0.010097
1,0.073349,0.92356,0.24235,0.2405
0,0.0059509,0.0049342,0.021318,0.014575
0,0.014689,0.019968,0.019768,0.012384
0,0.007884,0.00030512,0.016399,0.001151
0,0.026113,0.10761,0.049321,0.013246
1,0.34159,0.16627,0.33128,0.090978
0,0.018342,0.024292,0.024248,0.011208
0,0.023753,0.0023091,0.017477,0.0099555
0,0.0052111,0.033075,0.016705,0.049792
0,0.018882,0.017784,0.022579,0.027812
0,0.022504,0.052552,0.023662,0.06464
0,0.011659,0.016779,0.026695,0.020018
0,0.015523,0.0097595,0.024602,0.031449
0,0.022772,0.014126,0.025029,0.025272
0,0.036033,0.00098252,0.02638,0.0057639
0,0.018073,0.0059238,0.018707,0.018305
0,0.010276,0.14448,0.026069,0.0029613
0,0.017201,0.043447,0.017534,0.015927
0,0.018109,0.33447,0.023219,0.011877
0,0.02173,0.86568,0.032944,0.015309
0,0.0052729,0.035557,0.01952,0.040312
1,0.074901,0.99148,0.13675,0.21625
0,0.024125,0.01708,0.02101,0.01429
0,0.025336,0.15017,0.02773,0.012146
0,0.0060079,0.00024859,0.021189,0.0021299
0,0.036033,0.0027533,0.01202,0.013807
0,0.014804,0.00034237,0.025841,0.00074906
0,0.036033,0.0021325,0.016771,0.012502
0,0.028713,0.0014265,0.020782,0.014516
0,0.004213,0.038359,0.025216,0.264
0,0.0035974,0.0007009,0.018505,0.0313
0,0.010855,0.037044,0.020097,0.0046834
1,0.39326,0.72532,0.96836,0.079488
1,0.19213,0.25055,0.0047324,0.14776
0,0.017254,0.0033006,0.027439,0.032066
1,0.0894,0.47112,0.29899,0.086074
0,0.0077227,0.0092889,0.019638,0.013973
