Real,ADJ,CMC,CPL,VERB
0,0.012016,0.020645,0.015594,0.018908
0,0.010313,0.010295,0.014747,0.0038646
0,0.018339,0.001455,0.017322,0.021853
1,0.13532,0.25725,0.15911,0.83057
0,0.010679,0.0083389,0.016214,0.0068684
0,0.012366,0.0038625,0.015094,0.0095446
0,0.0076063,0.01067,0.014732,0.014798
0,0.004984,0.0015048,0.017663,0.018759
0,0.022109,0.017338,0.016441,0.0072349
0,0.022334,0.015121,0.017142,0.0064106
0,0.012258,0.005998,0.0017583,0.022083
0,0.0079789,0.0024161,0.019483,0.004176
0,0.028147,0.0051653,0.02056,7.8448e-05
0,0.0039636,0.0010421,0.017545,0.011619
0,0.017943,0.00069935,0.01917,0.01586
1,0.35844,0.44313,0.021284,0.19091
0,0.0082033,0.0015686,0.026057,0.017551
0,0.025006,0.010015,0.016833,0.02207
0,0.010937,0.0084056,0.018126,0.011282
0,0.0083319,0.0065541,0.017492,0.0069915
0,0.011884,0.018592,0.017463,0.011158
1,0.2954,0.96638,0.77477,0.058137
1,0.69844,0.97927,0.2082,0.92227
0,0.033841,0.014336,0.018788,0.013165
0,0.0061746,0.014104,0.017693,0.0051659
0,0.012894,0.016768,0.01683,0.012555
0,0.010574,0.0047456,0.017082,0.0044918
0,0.0066639,0.015509,0.016845,0.017976
0,0.0225,0.018186,0.016123,0.024362
0,0.0096268,0.59928,0.014292,0.016682
0,0.033841,0.011178,0.01479,0.014493
0,0.014299,0.0123,0.0042706,0.0022934
0,0.035465,0.00093322,0.013476,0.034123
0,0.015798,0.027972,0.01416,0.012685
0,0.0078609,0.025553,0.025753,0.019384
0,0.014401,0.0055588,0.018014,0.011546
0,0.010675,0.012986,0.021363,0.0082405
0,0.020392,0.024991,0.014269,0.020846
0,0.0098334,0.0104,0.0177,0.02207
0,0.016954,0.024566,0.056149,0.010447
0,0.006786,0.0092853,0.016474,0.015923
0,0.014262,0.0072916,0.015141,0.13978
0,0.025766,0.46467,0.017101,0.01122
0,0.098089,0.012569,0.013332,0.018718
0,0.00039354,0.014825,0.019956,0.003708
1,0.80491,0.0045892,0.3542,0.91298
0,0.010092,0.006484,0.017137,0.020047
0,0.011367,0.0030613,0.017954,0.010172
0,0.01255,0.0228,0.017263,0.009461
0,0.0086969,0.0062729,0.016562,0.013613
0,0.033832,0.0026288,0.014012,0.0097853
0,0.054291,0.0077228,0.013807,0.0089689
0,0.0072387,0.01123,0.016696,0.009559
0,0.0092289,0.0094507,0.015498,0.014958
0,0.033841,0.011711,0.018556,0.021784
0,0.010014,0.0096341,0.019419,0.0097005
0,0.0094213,0.0027337,0.015892,0.0064403
0,0.011376,0.0023442,0.013106,0.019014
0,0.013152,0.017319,0.014695,0.02269
0,0.014535,0.01131,0.018443,0.011757
0,0.0036909,0.0079535,0.017492,0.022045
1,0.39255,0.99732,0.18058,0.045886
0,0.0024559,0.0025508,0.015756,0.016986
0,0.018838,0.0090733,0.017511,0.02944
0,0.006208,0.011147,0.020974,0.010404
0,0.0084327,0.011836,0.012098,0.0059509
0,0.0086714,0.0023474,0.021928,0.013268
1,0.61601,0.77162,0.2675,0.21238
0,0.010442,0.0082945,0.013636,0.017211
0,0.018698,0.0011989,0.0019142,0.014081
0,0.023658,0.033077,0.016969,0.0062991
0,0.012627,0.015793,0.019196,0.013476
0,0.0083257,0.0099004,0.023796,0.0049237
0,0.006211,0.0033779,0.01766,0.014261
0,0.0033273,0.0053871,0.014627,0.028403
0,0.0079655,0.0048066,0.020054,0.0088964
0,0.062901,0.011002,0.025403,0.0072418
0,0.015664,0.029296,0.016961,0.16436
0,0.013232,0.0054838,0.016884,0.033046
0,0.013039,0.0041188,0.017155,0.014655
0,0.0047878,0.013067,0.016845,0.0095395
0,0.005718,0.00033405,0.016045,0.014816
0,0.011657,0.010343,0.014253,0.013063
0,0.002848,0.0035186,0.014076,0.01144
0,0.015721,0.062348,0.016171,0.0085402
0,0.002374,0.020674,0.014695,0.035412
0,0.021922,0.068362,0.016508,0.013369
0,0.03993,0.046048,0.019709,0.010984
0,0.026896,0.0022217,0.012222,0.0019474
0,0.0070623,0.0018114,0.0060555,0.007801
0,0.01047,0.011773,0.016679,0.0012816
0,0.02591,0.010216,0.017801,0.017035
0,0.016739,0.0094809,0.014348,0.021525
0,0.033841,0.026784,0.014548,0.041671
0,0.015165,0.0054214,0.015365,0.010078
0,0.016539,0.1407,0.014199,0.018314
0,0.011543,0.003433,0.019386,0.019764
0,0.028324,0.0071575,0.017317,0.017896
0,0.023923,0.0087288,0.016812,0.016677
0,0.033841,0.0070992,0.016658,0.020925
0,0.0082002,0.018896,0.014114,0.0089899
0,0.0079071,0.012697,0.017059,0.02002
0,0.0022049,0.012003,0.017491,0.0044084
0,0.037999,0.0055955,0.015848,0.016656
0,0.0091947,0.014608,0.01211,0.012011
0,0.010136,0.071725,0.016683,0.021944
0,0.0097137,0.032252,0.01676,0.011513
0,0.020047,0.0031118,0.017703,0.010377
0,0.013212,0.0086123,0.016821,0.0067674
0,0.34592,0.0059431,0.018187,0.011753
0,0.012942,0.007932,0.015367,0.011127
0,0.021761,0.0023919,0.013937,0.015733
0,0.0084531,0.0023355,0.016732,0.0957
0,0.010905,0.0021899,0.011526,0.11503
0,0.017936,0.0059009,0.018759,0.0064496
0,0.0047464,0.016672,0.015777,0.0061582
0,0.011583,0.0049892,0.015837,0.01091
0,2.6923e-06,0.0030241,0.0064051,0.028816
0,0.015373,0.0095762,0.017108,0.0045307
1,0.35887,0.99979,0.32814,0.21486
0,0.0063662,0.0020863,0.01833,0.0037458
0,0.032404,0.0043908,0.01576,0.071663
0,0.033841,0.014532,0.017104,0.0022209
1,0.88836,0.95117,0.10485,0.48208
0,0.011013,0.0050148,0.016832,0.015303
0,0.0065531,0.0026267,0.017112,0.081198
0,0.0092812,0.0042871,0.017138,0.024844
0,0.0093557,0.0079572,0.016629,0.0084552
0,0.011326,0.010647,0.014216,0.0038341
0,0.01162,0.0088156,0.013523,0.0059119
0,0.031705,0.095041,0.0095836,0.0097431
0,0.057508,0.011606,0.017119,0.0098725
0,0.010723,0.017983,0.016369,0.0027411
0,0.016755,0.0014896,0.022041,0.02207
0,0.0055852,0.0032987,0.015339,0.019291
0,0.033841,0.090832,0.010503,0.021036
1,0.7661,0.88426,0.13238,0.031512
0,0.16647,0.0093846,0.016611,0.016311
0,0.011208,0.018398,0.013292,0.010972
0,0.0039138,0.0026676,0.018612,0.011046
0,0.0037413,0.0012153,0.011015,0.010218
0,0.0051685,0.022104,0.018064,0.018998
0,0.016803,0.017328,0.024851,0.007842
0,0.0054245,0.0077906,0.016633,2.4636e-05
0,0.010483,0.0071411,0.015946,0.017258
0,0.0038824,0.0020403,0.015375,0.0091539
0,0.0085582,0.013057,0.013848,0.02285
0,0.0090907,0.013892,0.0094999,0.022397
0,0.037751,0.026914,0.016758,0.10891
0,0.019471,0.011106,0.0043548,0.013128
0,0.0027259,0.0021059,0.015717,0.0044838
0,0.0077885,0.011814,0.047501,0.015991
0,0.0076311,0.010814,0.017699,0.013834
0,0.0043638,0.0098411,0.015192,0.013705
0,0.0068561,0.0018699,0.013082,0.018117
0,0.011082,0.007214,0.017449,0.016248
0,0.012808,0.066628,0.016414,0.013772
0,0.033841,0.0088962,0.018611,0.0087494
0,0.0039235,0.0011876,0.011336,0.02207
0,0.032373,0.020447,0.012659,0.018812
0,0.0055579,0.006132,0.017118,0.065648
0,0.033841,0.040906,0.018275,0.0082079
0,0.0014333,0.0027739,0.016471,0.028965
0,0.014884,0.0024561,0.016518,0.013966
0,0.0083451,0.0099294,0.016202,0.016735
0,0.034303,0.0067567,0.014158,0.014516
0,0.01612,0.0064411,0.014709,0.0090399
0,0.0059625,0.0026515,0.0069273,0.015349
0,0.0083219,0.00081612,0.017159,0.010244
1,0.31017,0.98336,0.020295,0.024276
0,0.015361,0.008732,0.016721,0.014136
0,0.0074924,0.0068221,0.014373,0.012448
0,0.013617,0.013765,0.024907,0.010896
0,0.015706,0.0067863,0.021726,0.018533
0,0.019346,0.028217,0.020345,0.0052432
0,0.010984,0.02425,0.01531,0.0085061
0,0.0063207,0.0033932,0.021659,0.008975
0,0.0083918,0.011941,0.01519,0.013112
0,0.033841,0.013828,0.01613,0.0086917
0,0.0058103,0.030838,0.015075,0.011468
0,0.0094481,0.013537,0.014715,0.02207
0,0.018069,0.0077626,0.013767,0.021442
0,0.0039237,0.0010716,0.01664,0.019311
0,0.012383,0.0067254,0.016038,0.0030601
0,0.021904,0.71805,0.017707,0.11507
0,0.018022,0.012291,0.016074,0.001898
0,0.01811,0.0049745,0.024065,0.0015088
0,0.0082848,0.0042924,0.016802,0.015407
0,0.014039,0.026323,0.014394,0.014324
0,0.0069073,0.0088988,0.01678,0.008261
0,0.022586,0.00066437,0.015411,0.019423
0,0.0029776,0.0019945,0.020486,0.015718
0,0.024896,0.02947,0.015361,0.011584
0,0.0043555,0.0015046,0.011934,0.017744
0,0.018759,0.007005,0.017475,0.015662
0,0.012427,0.015797,0.014575,0.065748
0,0.011826,0.037886,0.019067,0.0075821
0,0.013065,0.0025925,0.02056,0.0037438
0,0.017306,0.0019422,0.010612,0.0098049
0,0.0078311,0.0013575,0.0064637,0.014703
0,0.0022715,0.0056768,0.017299,0.0063632
0,0.033737,0.029753,0.016486,0.0064843
0,0.0082449,0.013906,0.028201,0.0060868
0,0.012391,0.0094211,0.016912,0.015715
0,0.019071,0.0038709,0.017305,0.0094929
0,0.012859,0.0078701,0.016144,0.022776
0,0.012482,0.0077009,0.017091,0.036482
0,0.23988,0.042025,0.014534,0.0094848
0,0.0081893,0.0052029,0.0016079,0.003449
0,0.090082,0.044768,0.016303,0.014903
0,0.012845,0.0042206,0.015896,0.014315
0,0.014739,0.046669,0.01661,0.010699
0,0.0091958,0.0041505,0.012028,0.027468
0,0.0075717,0.00040143,0.017039,0.012497
0,0.0076667,0.0041436,0.015037,0.016918
