Real,ADJ,CMC,CPL,VERB
0,0.0044058,0.061881,0.0060037,0.0031153
0,0.0028322,0.044732,0.0058499,0.0030332
0,0.0029325,0.00034503,0.0077246,0.0019916
0,0.0036936,0.00039442,0.004873,0.0024698
0,0.0041677,0.00080685,0.0061624,0.0026254
0,0.0055961,0.0023102,0.00594,0.0024558
0,0.0046794,0.01089,0.0060067,0.0046134
0,0.0048293,0.0013853,0.0055101,0.0026275
0,0.0040857,0.00075394,0.0058106,0.002529
0,0.0054456,0.044497,0.0059457,0.0027164
0,0.0027209,0.0013118,0.0064683,0.0035542
0,0.0043911,0.065268,0.0066665,0.0026673
0,0.0059737,0.75329,0.0060963,0.0030452
0,0.0034437,0.018545,0.0057926,0.002507
0,0.0047393,0.15869,0.0050614,0.0054017
0,0.0026431,0.0050195,0.0068012,0.0073232
0,0.0019815,0.0012346,0.0058078,0.0033798
0,0.0054456,0.0027249,0.0059703,0.0025734
0,0.0054456,0.0044274,0.0061842,0.0032975
0,0.0033409,0.0017513,0.0059329,0.002077
0,0.0051588,0.00061544,0.004705,0.0064261
0,0.0044507,0.00098215,0.0056387,0.0029831
1,0.030827,0.91033,0.028946,0.015017
0,0.0037558,0.00099788,0.0060625,0.0025353
0,0.0049438,0.0018612,0.0060988,0.0039932
0,0.0023086,0.069493,0.0059895,0.0027888
0,0.005489,0.0023864,0.0076743,0.0031573
0,0.0047376,0.046449,0.0064042,0.0033611
0,0.0031254,0.0004929,0.0064709,0.0029907
0,0.002012,0.0046422,0.0085823,0.0045328
0,0.0033325,0.86233,0.004899,0.0026855
0,0.0022226,0.0038166,0.0052217,0.0036119
0,0.0043796,0.036149,0.0061512,0.0085441
0,0.0025895,0.057314,0.0060046,0.0023916
0,0.0034081,0.057023,0.0059773,0.0032817
0,0.0018182,0.036787,0.0050389,0.0029996
0,0.0030698,0.0011329,0.008748,0.0014552
0,0.0045051,0.025815,0.0060541,0.0043187
0,0.0028506,0.001352,0.0049884,0.0032882
0,0.0054456,0.011321,0.0058143,0.0015595
0,0.0038205,0.10195,0.0070618,0.0035848
0,0.0018588,0.0038481,0.0062591,0.0035924
0,0.0046955,0.0021453,0.0057757,0.0028902
0,0.0042228,0.036795,0.0060868,0.0032928
0,0.0039696,0.026493,0.0061986,0.0033899
0,0.0056708,0.0013859,0.0059314,0.0029514
0,0.0028891,0.0010115,0.0053837,0.0039811
0,0.019758,0.00070208,0.0056196,0.0033835
0,0.0048209,0.0015304,0.0037404,0.0029519
0,0.0014282,0.031267,0.0061874,0.0071104
0,0.0066611,0.014547,0.01467,0.005888
0,0.0038659,0.00065723,0.0058353,0.0078754
0,0.0048066,0.01161,0.0057604,0.0034406
0,0.0046852,0.0090438,0.0055494,0.0052098
0,0.0063519,0.0012198,0.005057,0.003404
0,0.0044027,0.022547,0.0057492,0.0034156
0,0.0018706,0.010198,0.0070996,0.0035924
0,0.0038434,0.0012773,0.0050132,0.0045331
0,0.0028521,0.0059005,0.006053,0.0038453
0,0.0037638,0.00291,0.003961,0.0024511
0,0.0039051,0.00052835,0.0066595,0.0025697
0,0.0044657,0.00083374,0.0080572,0.002554
0,0.003619,0.0028195,0.0050586,0.0048054
0,0.0031594,0.0031917,0.0060683,0.0037703
0,0.0047026,0.0098803,0.0056932,0.010218
0,0.002963,0.030368,0.00619,0.0039873
0,0.0040851,0.073329,0.0059381,0.0030017
0,0.0026417,0.00034876,0.0059708,0.0037551
0,0.0023928,0.0011364,0.0063267,0.0025979
0,0.0038435,0.0058569,0.0061154,0.0035749
0,0.010445,0.00095682,0.0052197,0.0035924
0,0.0037208,0.00049632,0.0056833,0.0024287
0,0.0061126,0.0014804,0.0054557,0.0030517
0,0.0051943,0.0073582,0.0059601,0.0034545
0,0.005266,0.0085884,0.0054527,0.0038058
0,0.0037048,0.0053761,0.0051322,0.0032759
0,0.0028637,0.0028964,0.0052967,0.0029921
0,0.0024384,0.0040894,0.0059677,0.0080802
0,0.0040898,0.016096,0.019413,0.0095696
0,0.0024526,0.0004175,0.0059973,0.0037721
0,0.0040493,0.0091745,0.0059662,0.009144
0,0.0027546,0.0018084,0.0016383,0.0022384
0,0.004699,0.031591,0.0072665,0.0012722
0,0.0015724,0.0096793,0.0060888,0.0046279
0,0.0053122,0.052125,0.0059764,0.0033543
0,0.0033855,0.00054171,0.0063274,0.0047317
0,0.0026891,0.00027908,0.0061731,0.0033408
0,0.019177,0.019,0.0068945,0.0032315
0,0.0015728,0.0061031,0.0063909,0.0041024
0,0.0052892,0.00088001,0.0058959,0.003015
0,0.0054456,0.0052829,0.0067657,0.0020648
0,0.0032761,0.0056727,0.0058705,0.003605
0,0.003461,0.0001929,0.0055012,0.0048733
0,0.0050964,0.020066,0.0020185,0.0014782
0,0.0035134,0.00017819,0.0073563,0.0032258
0,0.0052212,0.0070026,0.0058946,0.0027898
0,0.0053342,0.099412,0.0058378,0.0027281
0,0.0044083,0.0074302,0.0075944,0.0030822
0,0.0024098,0.069111,0.0062406,0.0048068
0,0.003791,0.00064257,0.0060203,0.0025694
0,0.0028527,0.0006553,0.0060905,0.0020189
0,0.0036174,0.00055034,0.0057203,0.0065874
0,0.0038663,0.00052806,0.0058333,0.0046868
0,0.005278,0.002056,0.006072,0.0020157
0,0.0068818,0.0019018,0.005539,0.0035393
0,0.0037917,0.090539,0.0067583,0.0037881
0,0.0019997,0.029338,0.0061451,0.012297
0,0.0044381,0.002817,0.0062338,0.002956
0,0.0054456,0.00069137,0.0062884,0.046734
0,0.0026948,0.011093,0.0060853,0.0027293
0,0.0059996,0.00051638,0.0063142,0.0037807
0,0.0061238,0.016948,0.0059691,0.0026198
0,0.0036427,0.00043056,0.0056048,0.00089535
0,0.0043551,0.00031034,0.0060745,0.0024064
0,0.0056635,0.006874,0.0067548,0.00056448
0,0.0030239,0.0025219,0.0061132,0.0039699
0,0.0054456,0.0030378,0.0057812,0.0035047
0,0.0047148,0.0032192,0.0060477,0.0030247
0,0.0026215,0.00091249,0.0060311,0.0028315
0,0.0024134,0.013538,0.0058091,0.0031663
0,0.0038203,0.055249,0.0060588,0.0063123
0,0.0061308,0.0019745,0.0057465,0.0042528
0,0.003373,0.74414,0.0064502,0.0038272
0,0.0039175,0.071723,0.0066706,0.0038577
0,0.0050817,0.0013814,0.0058517,0.0099967
1,0.012958,0.46172,0.042115,0.48862
0,0.0053717,0.0070978,0.0060772,0.0037304
0,0.0018817,0.035522,0.0058208,0.0040483
0,0.0030417,0.016257,0.0056902,0.0050037
0,0.0031679,0.01062,0.0055472,0.01084
0,0.003114,0.0042854,0.0060051,0.0026421
0,0.0052988,0.45598,0.0083055,0.010877
0,0.0039032,0.0003174,0.0060178,0.0030426
0,0.0026888,0.001137,0.0043176,0.0057062
0,0.0015043,0.00046736,0.0059275,0.0036239
0,0.0018969,0.0011728,0.0061744,0.0017492
0,0.0045743,0.00079989,0.0059292,0.0039114
0,0.0039978,0.0014992,0.0056469,0.0041248
0,0.0019199,0.00054205,0.0059177,0.0047464
0,0.0045383,0.067562,0.0060512,0.004006
0,0.0035305,0.013442,0.0067845,0.010006
0,0.0027803,0.0029739,0.0059105,0.0030167
0,0.0034921,0.0012938,0.0061713,0.0036554
0,0.0026012,0.0039187,0.0060655,0.0013748
0,0.0044385,0.00094289,0.0077971,0.0046725
0,0.0041506,0.0020392,0.0060384,0.0038812
0,0.0034475,0.00086913,0.0058787,0.0031767
0,0.0030789,0.0093331,0.0059179,0.002433
0,0.0048512,0.0026007,0.0059561,0.0033992
0,0.0065473,0.0047988,0.0059394,0.0034219
0,0.0023907,0.0010832,0.0063693,0.01116
0,0.0045408,0.079977,0.0059266,0.0036064
0,0.0052175,0.019297,0.006079,0.0028688
0,0.005112,0.00011806,0.0060224,0.005571
1,0.82382,0.67358,0.0062916,0.44924
0,0.0022494,0.011588,0.0057617,0.0035376
0,0.0019799,0.007465,0.0057088,0.0039416
0,0.0031386,0.030458,0.0059865,0.0036904
0,0.0032708,0.0080829,0.0060747,0.0039002
0,0.0025445,0.021607,0.0068708,0.0038776
0,0.0029571,0.0057614,0.0062733,0.0055439
0,0.0039788,0.00025375,0.0060764,0.0031364
