Real,ADJ,CMC,CPL,VERB
0,0.015583,0.0068308,0.012243,0.012758
0,0.0090392,0.0068975,0.013651,0.014159
0,0.012076,0.015845,0.01426,0.0096733
0,0.0081859,0.023145,0.013443,0.015476
0,0.011099,0.069414,0.013544,0.015287
0,0.037321,0.047685,0.013679,0.0060667
0,0.0018646,0.0015794,0.013785,0.0068307
0,0.012456,0.022888,0.014307,0.014526
0,0.010469,0.030782,0.013294,0.015617
0,0.0090902,0.005047,0.013305,0.063222
0,0.012839,0.0057791,0.01443,0.024063
0,0.0040937,0.0035182,0.012566,0.013692
0,0.010048,0.0029352,0.01345,0.0088762
0,0.0076225,0.0022379,0.014067,0.024061
0,0.0098459,0.0026827,0.014064,0.014951
0,0.011966,0.010392,0.01193,0.012025
0,0.0088291,0.0034108,0.01108,0.014764
0,0.01059,0.012424,0.014222,0.013971
0,0.0097442,0.0096478,0.013455,0.0097367
0,0.0013306,0.0003892,0.011361,0.012385
0,0.0044816,0.17277,0.012121,0.013275
0,0.0011912,0.0066686,0.013418,0.019119
0,0.0074784,0.013516,0.013993,0.01018
0,0.011966,0.015392,0.012356,0.010785
0,0.0072809,0.017521,0.012103,0.016361
0,0.016797,0.00083975,0.012821,0.010677
1,0.61689,0.81206,0.017287,0.024319
0,0.0092677,0.01087,0.014728,0.021854
0,0.012058,0.0037569,0.011002,0.013959
0,0.0098564,0.0025975,0.014705,0.013174
0,0.014977,0.0019054,0.012444,0.0033939
0,0.0091612,0.0027739,0.014137,0.0093413
0,0.0017833,0.0016629,0.016253,0.011367
0,0.021684,0.0038243,0.013049,0.011784
0,0.012512,0.018979,0.011813,0.016029
0,0.0093756,0.0012386,0.012607,0.014189
0,0.0076462,0.0050664,0.010832,0.0092802
0,0.010564,0.0020017,0.01147,0.0077905
0,0.010348,0.01831,0.012195,0.015983
0,0.014321,0.031655,0.013792,0.011253
0,0.0603,0.0031999,0.013752,0.011032
0,0.0075988,0.0030256,0.012896,0.0094264
0,0.0064273,0.0012161,0.010968,0.010489
0,0.23066,0.13378,0.014127,0.016323
0,0.0095521,0.0044461,0.013002,0.0066918
0,0.011966,0.004876,0.013472,0.0043257
0,0.0019039,0.00099824,0.014438,0.011872
0,0.0081359,0.0018386,0.01349,0.0097277
0,0.027712,0.11893,0.026681,0.014714
0,0.011076,0.014172,0.014231,0.014879
0,0.018308,0.014556,0.013302,0.0070973
0,0.009866,0.00043774,0.01473,0.0069975
0,0.010665,0.064598,0.013115,0.011157
0,0.0094241,0.0027031,0.014876,0.010876
0,0.028145,0.0020757,0.01323,0.0080521
0,0.0099822,0.0057643,0.012382,0.012741
0,0.011377,0.068623,0.014495,0.010384
0,0.029187,0.0014605,0.011203,0.017537
0,0.0108,0.023821,0.013329,0.025885
0,0.0064658,0.0099955,0.012999,0.064063
0,0.021757,0.014284,0.0095468,0.0074137
0,0.0097864,0.00022474,0.014389,0.010409
0,0.0040774,0.015318,0.012843,0.012278
0,0.0073949,0.0018025,0.013623,0.012134
0,0.011966,0.0098482,0.012742,0.0060461
0,0.0067924,0.0037593,0.013559,0.0096801
0,0.0055693,0.0042612,0.011945,0.015927
0,0.01101,0.011634,0.014091,0.0073432
0,0.010167,0.003907,0.013476,0.012422
0,0.0087335,0.006429,0.012689,0.01264
0,0.12826,0.0095108,0.013325,0.013691
0,0.0058794,0.048089,0.01248,0.0073398
0,0.011514,0.0029939,0.013865,0.014324
0,0.0057238,0.0070455,0.012474,0.0099593
0,0.011208,0.0038281,0.013496,0.011412
0,0.012155,0.0028429,0.01119,0.01896
0,0.0058326,0.0053195,0.0090831,0.042918
0,0.011064,0.018075,0.015304,0.014682
0,0.011022,0.0068507,0.010091,0.010038
0,0.0086576,0.0065641,0.011853,0.0093077
0,0.018719,0.10035,0.0087609,0.010395
0,0.010694,0.039931,0.01276,0.015884
0,0.01074,0.0073705,0.012021,0.0063266
0,0.011966,0.0022574,0.01377,0.018537
0,0.0097418,0.06401,0.013627,0.0084662
0,0.006726,0.0022883,0.01342,0.011994
0,0.0068152,0.0029816,0.012032,0.016187
0,0.0017833,0.002706,0.014338,0.0077706
0,0.011966,0.0051503,0.013413,0.011718
0,0.0067022,0.0086216,0.014511,0.022
0,0.01442,0.1683,0.013389,0.00811
