Real,ADJ,CMC,CPL,VERB
0,0.0031449,0.012714,0.0043068,0.0040223
0,0.0069436,0.0022469,0.0039545,0.0031969
0,0.0023071,0.0029506,0.0060386,0.0058253
0,0.00018302,0.0022046,0.0044518,0.0079687
0,0.0037533,0.010925,0.0041483,0.0027132
0,0.002898,0.0019203,0.0038009,0.0041592
0,0.0052467,0.011324,0.0044834,0.004388
0,0.0023171,0.0086814,0.0039691,0.0046019
0,0.0026564,0.011503,0.0037684,0.0025152
0,0.0032671,0.0025586,0.0037686,0.00475
0,0.0034438,0.029643,0.0027491,0.0020958
0,0.0025269,0.0099577,0.0047862,0.0050771
0,0.004514,0.028707,0.0042271,0.0021257
0,0.0017498,0.011104,0.0043875,0.0038064
0,0.0012301,0.035435,0.0038669,0.0047178
0,0.0014323,0.0053171,0.0040873,0.0037686
0,0.0031248,0.010972,0.0041592,0.0042609
0,0.0025277,0.0094472,0.0044356,0.0025309
0,0.0024853,0.0026634,0.0042533,0.0042239
0,0.003272,0.0058922,0.0041893,0.0047058
0,0.0030169,0.011563,0.0040001,0.0019167
0,0.0038242,0.0084825,0.004181,0.0024532
0,0.0032186,0.0017145,0.0044362,0.003697
0,0.00091682,0.0062333,0.0042745,0.0014557
0,0.00030508,0.016293,0.0040244,0.0030468
0,0.0034593,0.013231,0.0041233,0.0042339
0,0.0020952,0.0060094,0.0052082,0.0038333
0,0.0024353,0.046442,0.0040275,0.008086
0,0.0027945,0.0076364,0.0039734,0.0036641
0,0.0039637,0.0099748,0.0040728,0.0027119
0,0.0014934,0.0014749,0.0058206,0.0034716
0,0.0016602,0.16442,0.0045593,0.0012972
0,0.0021481,0.010163,0.00387,0.0052406
0,0.0022127,0.014963,0.0048857,0.0042488
0,0.0031139,0.0090212,0.0042551,0.0039987
0,0.0080166,0.0028173,0.0042446,0.0029946
0,0.0021862,0.0066116,0.0043396,0.0066466
0,0.0043359,0.0081374,0.0041155,0.0043355
0,0.0037732,0.013116,0.0035109,0.0056112
0,0.0026226,0.0061736,0.0041067,0.0033116
0,0.0032234,0.0013729,0.0037099,0.0043242
0,0.01773,0.0057013,0.0042383,0.0034213
0,0.0016584,0.0024141,0.0040465,0.0040443
0,0.0032472,0.031829,0.0048149,0.0043876
0,0.00098413,0.006099,0.0036755,0.001016
0,0.00087791,0.0086237,0.0036659,0.004615
0,0.0018305,0.0067054,0.0040716,0.0028422
0,0.0030893,0.0038727,0.0042896,0.003198
0,0.0037697,0.0014407,0.0038567,0.0038605
0,0.0043439,0.014558,0.0039687,0.0052161
0,0.0031409,0.022659,0.0037714,0.003563
0,0.0021731,0.0017269,0.0031622,0.0044973
1,0.050826,0.98017,0.0061778,0.02179
0,0.0035571,0.038036,0.0041203,0.0031954
0,0.0051939,0.0062362,0.0040847,0.0035069
0,0.0026078,0.016577,0.0038629,0.0029355
0,0.0014289,0.0024318,0.0042208,0.0013037
0,0.00088996,0.0057475,0.0039422,0.0034211
0,0.0029738,0.0033901,0.0045865,0.00066686
0,0.0020351,0.0018993,0.0041336,0.0028533
0,0.00032974,0.0048106,0.0040716,0.0035184
0,0.0019492,0.0046073,0.003883,0.0038116
0,0.0012451,0.07677,0.0042741,0.0034152
0,0.002043,0.016977,0.004406,0.0030316
0,0.0011034,0.0043794,0.0043213,0.004245
0,0.010005,0.023794,0.0042403,0.0017896
0,0.0035848,0.0088767,0.0041618,0.0036912
0,0.0030415,0.002298,0.0041445,0.0017927
0,0.001685,0.0055449,0.0040474,0.0024964
0,0.0025578,0.011133,0.0042844,0.0029517
0,0.0018909,0.037152,0.0040719,0.0062804
0,0.0023605,0.0014062,0.0041658,0.0029739
0,0.006521,0.095976,0.0043326,0.0035792
0,0.0038725,0.025293,0.0041096,0.0024102
0,0.0033625,0.060549,0.0042849,0.0037892
0,0.0026222,0.0024431,0.0044923,0.0033185
0,0.004078,0.0029021,0.0042661,0.0031813
0,0.0020022,0.0079898,0.0041948,0.0035952
0,0.0024868,0.0057578,0.0040595,0.0015733
0,0.0087766,0.044825,0.0053268,0.0035395
0,0.0017987,0.0019431,0.0044189,0.0035002
0,0.0020433,0.0025964,0.0037887,0.00059955
0,0.0045494,0.02886,0.0038246,0.0031692
0,0.0024788,0.024076,0.0039903,0.0019545
0,0.0011138,0.010678,0.004161,0.0035448
0,0.0025145,0.0078204,0.0042239,0.0033155
0,0.0017356,0.0017502,0.0036415,0.0044687
0,0.0055147,0.0045766,0.004187,0.0080402
0,0.0025525,0.0044065,0.0043244,0.0045037
0,0.0032162,0.01732,0.0043863,0.0043016
0,0.0024492,0.019159,0.0041962,0.0032892
0,0.0016371,0.0019546,0.0048765,0.0052174
0,0.0030154,0.12669,0.0055752,0.0049363
0,0.0028948,0.043922,0.0041918,0.0037541
0,0.0035691,0.013127,0.0041484,0.0056972
0,0.0017921,0.0037996,0.0050245,0.0034865
0,0.0037946,0.0026804,0.0041786,0.0042099
0,0.0029275,0.0055361,0.0040867,0.0042499
0,0.003666,0.002078,0.0040904,0.0034943
0,0.002482,0.018902,0.0040303,0.00080594
0,0.00093497,0.0014745,0.0039101,0.0022045
0,0.0024989,0.010703,0.0041061,0.0060443
0,0.002234,0.015908,0.0041742,0.0039669
0,0.0020285,0.023801,0.0042,0.0020739
0,0.0027267,0.00393,0.0036654,0.0026918
0,0.0029499,0.0041969,0.004363,0.0043052
0,0.0050096,0.0060938,0.0039482,0.0044743
0,0.0010401,0.0026971,0.0039171,0.0047981
0,0.0024517,0.026298,0.004002,0.0052504
0,0.0024793,0.011705,0.0044792,0.0059226
0,0.0057498,0.041416,0.0080864,0.003736
0,0.0032749,0.065413,0.0040738,0.0037472
0,0.0030171,0.085165,0.0043781,0.0026402
0,0.0021783,0.0046708,0.0041479,0.0080699
0,0.0014012,0.060558,0.0040277,0.0041708
0,0.00086434,0.010598,0.0040392,0.0049113
0,0.0042657,0.050509,0.0047474,0.0041168
0,0.0029921,0.0022448,0.0037142,0.0033572
0,0.0028801,0.020175,0.0042762,0.0031149
0,0.0057835,0.0028902,0.0037616,0.00476
0,0.0027438,0.010607,0.0039859,0.0025908
0,0.0038985,0.0046957,0.0041903,0.002406
0,0.002353,0.0118,0.0041851,0.0031068
0,0.0020625,0.0073643,0.0042067,0.003566
0,0.0023546,0.033269,0.0041468,0.0024032
0,0.0014345,0.022321,0.0044731,0.0039298
0,0.0033486,0.0023928,0.0043322,0.0030138
0,0.0025028,0.0027828,0.0069542,0.0027376
0,0.0034841,0.011791,0.0040977,0.004521
0,0.002651,0.02174,0.0043226,0.0038077
0,0.0029499,0.0037265,0.0038642,0.0030454
0,0.0029997,0.014526,0.003905,0.004552
0,0.001848,0.0035619,0.0017566,0.013661
0,0.0020779,0.0053807,0.0039351,0.0044879
0,0.0022887,0.010587,0.004318,0.0040311
0,0.0021188,0.0029949,0.0042067,0.0034333
0,0.0025438,0.020656,0.0039289,0.0056972
0,0.012414,0.015707,0.0041428,0.0042299
0,0.0020047,0.0079715,0.0037633,0.0031251
0,0.0033717,0.0036718,0.0037887,0.004109
0,0.0033354,0.0086624,0.0042795,0.0057004
0,0.001364,0.0027915,0.0042763,0.0040899
0,0.0043692,0.023644,0.0039606,0.002658
0,0.0028067,0.026171,0.0041005,0.0020055
0,0.002625,0.0022299,0.0040483,0.0037446
0,0.0014069,0.014476,0.0038114,0.0047724
0,0.0012536,0.034982,0.0043549,0.0029234
0,0.0031833,0.013549,0.0031123,0.004332
0,0.0024336,0.012755,0.0039899,0.0037372
0,0.0041043,0.015713,0.0041417,0.0054082
0,0.0021895,0.0023597,0.0055008,0.0046425
0,0.0025881,0.002981,0.0037318,0.0025215
0,0.0039637,0.026848,0.0051601,0.0053917
