Real,ADJ,CMC,CPL,VERB
0,0.017898,0.012033,0.036433,0.0022534
0,0.012796,0.25059,0.00038923,0.0081515
1,0.080972,0.99626,0.050558,0.98183
0,0.019749,0.071342,0.040814,0.011623
0,0.0084504,0.065847,0.038191,0.011978
0,0.022579,0.073662,0.046593,0.30844
0,0.039156,0.0039455,0.021732,0.045765
0,0.026903,0.06651,0.040655,0.012545
1,0.7778,0.99917,0.089987,0.17881
0,0.00080847,0.0012733,0.037501,0.013047
0,0.052959,0.026757,0.026752,0.0022752
0,0.018832,0.011252,0.025039,0.062859
0,0.024062,0.0034019,0.02923,0.015228
0,0.017923,0.028693,0.0050507,0.015478
0,0.0036564,0.24031,0.024418,0.0065406
0,0.0045127,0.018683,0.039066,0.00080682
0,0.03343,0.010156,0.0394,0.0063885
0,0.011977,0.029426,0.043474,0.031125
1,0.7377,0.99921,0.10706,0.31698
0,0.0059371,0.037583,0.028478,0.016708
0,0.00948,0.014267,0.029867,0.022489
0,0.018413,0.059437,0.039338,0.005628
0,0.060602,0.024037,0.032888,0.0043272
0,0.0071264,0.028592,0.029185,0.0099727
0,0.011117,0.068784,0.03853,0.045941
0,0.0064811,0.076247,0.037476,0.014882
0,0.0052421,0.30225,0.048932,0.023548
0,0.0081216,0.49465,0.044069,0.007262
0,0.044746,0.33091,0.03302,0.20456
0,0.041429,0.021101,0.038915,0.13292
0,0.00053174,0.11087,0.12407,0.011771
0,0.029162,0.11379,0.047377,0.0070297
0,0.0099109,0.20322,0.023581,0.014116
0,0.01379,0.086535,0.040495,0.022595
0,0.0071907,0.021242,0.042855,0.00052199
0,0.00096484,0.017246,0.023017,0.028824
0,0.0013234,0.016377,0.12126,0.028798
0,0.022167,0.018333,0.044843,0.010825
0,0.031801,0.0051718,0.046042,0.021643
0,0.046368,0.051734,0.042246,0.070073
0,0.025545,0.11838,0.021199,0.057431
0,0.024018,0.021533,0.042128,0.077876
1,0.99813,0.97429,0.3824,0.16017
0,0.01961,0.025627,0.033107,0.05247
0,0.0083942,0.021679,0.00050829,0.023037
0,0.011525,0.23591,0.033737,0.026455
0,0.025286,0.036037,0.033037,0.0050347
0,0.009009,0.0054807,0.079296,6.4302e-05
0,0.0091803,0.010593,0.045938,0.55746
0,0.035946,0.6472,0.031211,0.01859
1,0.99743,0.79323,0.078421,0.12111
0,0.052854,0.0015137,0.040595,0.058565
0,0.11784,0.0050358,0.021765,0.0054921
0,0.011467,0.019892,0.041475,0.011672
0,0.021078,0.125,0.058259,0.005979
0,0.014097,0.17657,0.050245,0.024322
0,0.00489,0.036275,0.032234,0.022539
0,0.03343,0.015685,0.03039,0.019779
0,0.020091,0.59762,0.0084599,0.055941
0,0.032167,0.019533,0.05587,0.031125
0,0.017135,0.0082109,0.039446,0.00493
0,0.0049798,0.012888,0.030332,0.047105
0,0.080952,0.041167,0.021302,0.021187
0,0.14156,0.029811,0.049676,0.0050106
0,0.045925,0.010456,0.030736,0.0024845
0,0.035102,0.010346,0.048052,0.0077251
0,0.044051,0.014254,0.03737,0.093381
1,0.87762,0.96533,0.085935,0.89918
0,0.021229,0.0088455,0.033586,0.02953
1,0.03606,0.99565,0.12851,0.052713
0,0.016873,0.0057148,0.026808,0.018168
0,0.013745,0.11049,0.045621,0.019334
0,0.0089121,0.043896,0.038364,0.020685
0,0.007753,0.033011,0.027269,0.014165
0,0.0071277,0.037798,0.018502,0.016701
0,0.016897,0.044621,0.027889,0.031125
0,0.58,0.026732,0.027772,0.0082949
0,0.013009,0.030059,0.044765,0.080186
0,0.013385,0.053955,0.034273,0.014901
0,0.036149,0.011522,0.022609,0.03065
0,0.0087322,0.017424,0.028144,0.02064
0,0.020703,0.01045,0.042116,0.0090159
1,0.69329,0.87284,0.99307,0.11863
0,0.00062116,0.11019,0.01569,0.015508
0,0.035365,0.0242,0.049984,0.016625
0,0.0029282,0.054789,0.039491,0.012668
0,0.012801,0.042563,0.043591,0.018368
0,0.023071,0.14653,0.03492,0.086124
0,0.011747,0.020027,0.042331,0.024314
0,0.085684,0.24644,0.043408,0.0026998
0,0.023785,0.019388,0.0069327,0.00248
0,0.015442,0.16339,0.040892,0.0023124
0,0.033177,0.19329,0.011579,0.016866
0,0.0091299,0.04653,0.016283,0.0087313
0,0.016716,0.0044466,0.03721,0.030123
0,0.014063,0.060949,0.045074,0.0038068
0,0.012399,0.06984,0.027177,0.016143
0,0.003962,0.0075351,0.046147,0.0045158
0,0.0035015,0.010991,0.052999,0.013689
0,0.013642,0.047715,0.040471,0.011754
0,0.032007,0.82517,0.033284,0.018553
1,0.55726,0.16687,0.91534,0.92854
0,0.020844,0.47236,0.011258,0.0013993
0,0.0083349,0.11324,0.034486,0.0019926
0,0.015552,0.0042764,0.042365,0.094714
0,0.071049,0.075158,0.036455,0.0057893
0,0.054017,0.039628,0.040894,0.041979
1,0.062018,0.98628,0.05778,0.45647
0,0.024782,0.092739,0.032667,0.01089
0,0.03343,0.019604,0.020007,0.042006
0,0.013023,0.04725,0.045989,0.016816
0,0.011162,0.057304,0.033191,0.019887
0,0.014247,0.0070844,0.046832,0.0088832
0,0.021627,0.040839,0.00033946,0.034067
0,0.023435,0.026972,0.051373,0.016966
1,0.98164,0.8573,0.064499,0.024259
0,0.015988,0.039242,0.032506,0.074392
0,0.041248,0.024579,0.033862,0.022284
0,0.0016945,0.038352,0.015647,0.091054
0,0.016701,0.029588,0.036169,0.0094348
0,0.0070076,0.017586,0.044573,0.2195
0,0.012003,0.020429,0.02858,0.043417
0,0.1345,0.020045,0.03434,0.038055
0,0.0055253,0.035255,0.040582,0.0081222
0,0.026069,0.062687,0.032086,0.035782
0,0.0064571,0.061957,0.041914,0.0051995
0,0.032752,0.10708,0.03063,0.0061026
0,0.03343,0.055069,0.035971,0.00734
