Real,ADJ,CMC,CPL,VERB
0,0.0068333,0.023137,0.0087881,0.0081353
0,0.0045788,0.0014303,0.010633,0.0068689
0,0.0053653,0.0014119,0.0089944,0.028937
0,0.0063255,0.0017888,0.0087439,0.006018
0,0.0039094,0.0019215,0.0092324,0.0073754
0,0.0093929,0.031065,0.0027826,0.0056962
0,0.0042148,0.024828,0.0098409,0.005364
0,0.0065002,0.04974,0.0071895,0.004361
0,0.0015663,0.00090705,0.0078468,0.0039645
0,0.0063169,0.0010621,0.0091824,0.0047926
0,0.005135,0.00069746,0.0090617,0.0034242
0,0.014217,0.1217,0.020253,0.0049745
0,0.013634,0.067597,0.0091139,0.011292
0,0.0090602,0.0071916,0.0095545,0.0080979
0,0.0083716,0.06803,0.0084384,0.00017649
0,0.0066846,0.0043631,0.0088706,0.0042304
0,0.0080384,0.0035816,0.011711,0.010297
0,0.001039,0.0042088,0.0081348,0.027555
0,0.0029062,0.0053306,0.0089849,0.011667
0,0.0038884,0.0014636,0.0088314,0.0058462
0,0.0038376,0.0045252,0.0078025,0.0051742
0,0.0056418,0.0004036,0.0089235,0.012671
0,0.0086349,0.01376,0.0093263,0.0080629
0,0.012228,0.0039685,0.0093521,0.0034936
0,0.0071969,0.013805,0.012751,0.0060735
0,0.0071031,0.0087213,0.0096575,0.0049315
0,0.0096211,0.022536,0.0094144,0.0051504
0,0.012901,0.0036468,0.0088588,0.006247
0,0.0054258,0.0032996,0.0086273,0.0043372
0,0.0026286,0.020378,0.0095908,0.0034441
0,0.0066037,0.0011997,0.0099387,0.0088164
0,0.0092709,0.001426,0.0088208,0.0078717
0,0.014965,0.0074909,0.0087947,0.0053332
0,0.0049916,0.012822,0.0080841,0.006292
0,0.0071288,0.0061572,0.0084576,0.021111
0,0.0022402,0.018053,0.0062989,0.0057938
0,0.0034403,0.0004396,0.0089574,0.012936
0,0.0086236,0.0031853,0.010832,0.0037094
0,0.0073532,0.0018756,0.0080358,0.005888
0,0.0064678,0.0064328,0.009179,0.0054041
0,0.011018,0.0066705,0.010132,0.014066
0,0.0070785,0.011486,0.0090104,0.0072567
0,0.014644,0.00073213,0.0094118,0.004513
0,0.013027,0.0010209,0.019373,0.0084959
0,0.0074486,0.0088189,0.0085394,0.0083902
0,0.012677,0.0048052,0.0095696,0.0055819
